City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,98,EC,1597361714,95,-0.74,-90.35,66.99,1.01
1,Dikson,81,RU,1597361714,87,73.51,80.55,46.26,3.71
2,Rikitea,2,PF,1597361714,68,-23.12,-134.97,70.14,11.14
3,Bluff,40,NZ,1597361715,67,-46.6,168.33,45.0,5.01
4,Touros,20,BR,1597361716,83,-5.2,-35.46,75.2,6.93
5,Ushuaia,40,AR,1597361716,92,-54.8,-68.3,30.2,20.8
6,Mataura,1,NZ,1597361716,67,-46.19,168.86,45.0,5.01
7,George Town,20,MY,1597361717,94,5.41,100.34,78.8,2.24
8,Sicuani,62,PE,1597361717,45,-14.27,-71.23,51.26,5.68
9,‘Ewa Beach,90,US,1597361717,48,21.32,-158.01,89.6,8.05
10,Thompson,90,CA,1597361717,100,55.74,-97.86,60.8,5.82
11,Port Hedland,0,AU,1597361718,50,-20.32,118.57,53.6,8.05
12,Grindavik,75,IS,1597361485,93,63.84,-22.43,48.2,11.41
13,Hermanus,0,ZA,1597361721,88,-34.42,19.23,45.0,8.97
14,Jamestown,1,US,1597361722,47,42.1,-79.24,80.6,5.82
15,Nantucket,20,US,1597361590,78,41.28,-70.1,77.0,4.7
16,Mount Isa,90,AU,1597361440,60,-20.73,139.5,73.4,10.29
17,Seoul,90,KR,1597361682,78,37.57,126.98,82.4,12.75
18,New Norfolk,90,AU,1597361723,88,-42.78,147.06,55.0,1.5
19,Mizur,89,RU,1597361723,100,42.85,44.05,62.6,4.47
20,Kapaa,1,US,1597361724,66,22.08,-159.32,86.0,12.75
21,Carnarvon,0,AU,1597361702,100,-24.87,113.63,48.2,4.7
22,Busselton,60,AU,1597361725,100,-33.65,115.33,45.0,8.86
23,Taunggyi,100,MM,1597361725,100,20.78,97.03,64.38,4.56
24,Iwamizawa,75,JP,1597361725,82,43.2,141.76,73.0,8.05
25,Mahébourg,75,MU,1597361726,77,-20.41,57.7,69.8,5.82
26,Klaksvík,12,FO,1597361726,93,62.23,-6.59,50.0,5.82
27,Tazovsky,75,RU,1597361726,86,67.47,78.7,49.77,17.52
28,Bengkulu,75,ID,1597361726,80,-3.8,102.27,76.23,3.51
29,Sur,68,OM,1597361727,63,22.57,59.53,87.75,4.41
30,Ribeira Grande,2,PT,1597361727,74,38.52,-28.7,72.05,5.75
31,Faya,39,SA,1597361727,83,18.39,42.45,71.6,3.24
32,Atuona,65,PF,1597361727,78,-9.8,-139.03,78.13,17.76
33,Punta Arenas,43,CL,1597361728,74,-53.15,-70.92,30.2,8.05
34,Dwārka,95,IN,1597361728,82,22.24,68.97,83.14,18.63
35,Portobelo,100,PA,1597361728,94,9.55,-79.65,80.01,8.99
36,Butaritari,58,KI,1597361729,68,3.07,172.79,81.97,0.83
37,Nanortalik,98,GL,1597361729,86,60.14,-45.24,47.53,7.07
38,Albany,46,US,1597361716,64,42.6,-73.97,82.0,0.92
39,Vostok,100,RU,1597361730,100,46.49,135.88,56.57,6.6
40,Acapulco de Juárez,75,MX,1597361699,74,16.86,-99.89,86.0,12.75
41,Barrow,1,US,1597361562,76,71.29,-156.79,51.8,14.99
42,Hilo,90,US,1597361731,62,19.73,-155.09,84.2,10.29
43,Guilin,20,CN,1597361731,100,25.28,110.29,75.2,2.24
44,Provideniya,90,RU,1597361732,71,64.38,-173.3,53.6,13.42
45,Avarua,84,CK,1597361732,64,-21.21,-159.78,75.2,10.29
46,Dordrecht,82,NL,1597361732,87,51.81,4.67,72.0,1.99
47,Portland,20,US,1597361572,31,45.52,-122.68,80.01,11.41
48,Bredasdorp,0,ZA,1597361733,87,-34.53,20.04,44.6,4.7
49,Sibolga,95,ID,1597361733,72,1.74,98.78,77.27,2.59
50,Cape Town,1,ZA,1597361666,87,-33.93,18.42,52.0,6.93
51,Bambous Virieux,75,MU,1597361734,77,-20.34,57.76,69.8,5.82
52,Broome,1,US,1597361734,50,42.25,-75.83,77.0,3.36
53,Grand Gaube,49,MU,1597361735,77,-20.01,57.66,69.01,3.0
54,Yulara,0,AU,1597361735,75,-25.24,130.99,46.4,5.82
55,Hobart,75,AU,1597361711,87,-42.88,147.33,55.0,3.36
56,Nioro,100,GM,1597361735,97,13.35,-15.75,74.77,6.89
57,Balkhash,18,KZ,1597361736,58,46.84,74.98,66.69,8.3
58,Grafton,1,US,1597361714,47,42.21,-71.69,80.6,3.36
59,Waitati,0,NZ,1597361736,60,-45.75,170.57,45.0,5.99
60,Beringovskiy,50,RU,1597361737,63,63.05,179.32,57.51,5.88
61,Kysyl-Syr,11,RU,1597361737,63,63.9,122.76,48.76,9.48
62,Ponta do Sol,20,PT,1597361737,68,32.67,-17.1,71.6,8.05
63,Kahului,40,US,1597361562,43,20.89,-156.47,91.4,25.28
64,Empório,9,GR,1597361738,72,40.48,21.55,68.0,4.7
65,Vaini,75,TO,1597361738,83,-21.2,-175.2,78.8,8.05
66,Pevek,94,RU,1597361738,95,69.7,170.31,41.97,7.45
67,São Félix do Xingu,8,BR,1597361739,36,-6.64,-51.99,79.16,1.72
68,Khatanga,0,RU,1597361739,56,71.97,102.5,51.62,12.62
69,Taltal,24,CL,1597361739,76,-25.4,-70.48,53.22,4.21
70,Dingle,98,PH,1597361739,85,11.0,122.67,78.48,1.01
71,Harlingen,1,US,1597361622,52,26.19,-97.7,93.2,16.11
72,Bereda,4,ES,1597361740,100,43.27,-7.54,53.01,0.18
73,Salalah,90,OM,1597361740,100,17.02,54.09,75.2,4.7
74,Turbo,75,CO,1597361741,94,8.09,-76.73,78.8,10.85
75,Ostrovnoy,78,RU,1597361547,77,68.05,39.51,43.61,8.5
76,Vao,7,NC,1597361741,67,-22.67,167.48,69.69,12.1
77,Mīzan Teferī,100,ET,1597361741,93,6.98,35.58,61.14,1.05
78,Cidreira,99,BR,1597361742,95,-30.18,-50.21,59.41,6.02
79,Belaya,0,UA,1597361742,51,49.03,25.77,60.01,3.0
80,Mildura,40,AU,1597361743,93,-34.2,142.15,53.01,5.82
81,Mar del Plata,0,AR,1597361561,81,-38.0,-57.56,48.99,6.24
82,Mogadishu,87,SO,1597361698,83,2.04,45.34,74.75,15.73
83,Talnakh,0,RU,1597361745,55,69.49,88.4,66.2,13.42
84,Arraial do Cabo,8,BR,1597361576,73,-22.97,-42.03,75.2,14.99
85,Caucayá,84,CO,1597361745,94,-0.19,-74.78,75.4,2.06
86,Henties Bay,0,NA,1597361746,91,-22.12,14.28,53.01,1.99
87,Isangel,90,VU,1597361643,73,-19.55,169.27,73.4,5.82
88,Iqaluit,20,CA,1597361746,58,63.75,-68.51,53.6,19.46
89,Rock Sound,0,BS,1597361746,75,24.9,-76.2,82.71,13.35
90,Saint George,1,US,1597361747,13,37.1,-113.58,102.99,16.11
91,Mandiana,13,GN,1597361747,94,10.63,-8.68,72.18,5.08
92,Airai,62,TL,1597361747,61,-8.93,125.41,66.83,2.57
93,Jand,53,PK,1597361748,74,33.43,72.02,83.23,10.22
94,Vestmanna,25,FO,1597361748,93,62.16,-7.17,50.0,5.82
95,Edelira,73,PY,1597361748,94,-26.75,-55.27,57.97,1.97
96,Bethel,1,US,1597361748,69,41.37,-73.41,80.01,0.89
97,Neustadt an der Waldnaab,90,DE,1597361749,100,49.71,12.09,66.99,8.05
98,Zhigansk,16,RU,1597361749,71,66.77,123.37,46.36,20.67
99,Dubbo,90,AU,1597361468,93,-32.25,148.62,48.2,9.17
100,Nambucca Heads,0,AU,1597361750,72,-30.65,153.0,68.0,3.8
101,Cherskiy,98,RU,1597361750,81,68.75,161.3,45.12,4.23
102,Caravelas,0,BR,1597361750,85,-17.71,-39.25,69.8,4.18
103,Biloela,50,AU,1597361751,61,-24.42,150.5,69.04,7.83
104,Diego de Almagro,0,CL,1597361751,71,-26.37,-70.05,44.89,0.87
105,Sarangani,73,PH,1597361751,73,5.4,125.46,82.13,4.34
106,Setermoen,100,NO,1597361752,93,68.86,18.35,54.0,14.99
107,Suleja,75,NG,1597361752,100,9.18,7.18,71.6,3.36
108,Muros,3,ES,1597361752,88,42.78,-9.06,64.0,3.56
109,Tuktoyaktuk,75,CA,1597361752,76,69.45,-133.04,53.6,10.29
